2024-09-02 15:09:43,700 [trainer.py] => config: ./exps/podnet.json
2024-09-02 15:09:43,700 [trainer.py] => prefix: reproduce
2024-09-02 15:09:43,700 [trainer.py] => dataset: hrrp9
2024-09-02 15:09:43,700 [trainer.py] => memory_size: 500
2024-09-02 15:09:43,700 [trainer.py] => memory_per_class: 20
2024-09-02 15:09:43,700 [trainer.py] => fixed_memory: False
2024-09-02 15:09:43,700 [trainer.py] => shuffle: True
2024-09-02 15:09:43,700 [trainer.py] => init_cls: 5
2024-09-02 15:09:43,700 [trainer.py] => increment: 2
2024-09-02 15:09:43,700 [trainer.py] => model_name: podnet
2024-09-02 15:09:43,700 [trainer.py] => convnet_type: resnet18
2024-09-02 15:09:43,700 [trainer.py] => init_train: True
2024-09-02 15:09:43,700 [trainer.py] => convnet_path: checkpoints/init_train/resnet18_42503.pth
2024-09-02 15:09:43,700 [trainer.py] => fc_path: checkpoints/init_train/fc_42503.pth
2024-09-02 15:09:43,701 [trainer.py] => device: [device(type='cuda', index=6)]
2024-09-02 15:09:43,701 [trainer.py] => seed: 1993
2024-09-02 15:09:44,182 [data_manager.py] => [4, 2, 5, 0, 3, 6, 7, 8, 1]
2024-09-02 15:09:44,279 [trainer.py] => All params: 3843904
2024-09-02 15:09:44,279 [trainer.py] => Trainable params: 3843904
2024-09-02 15:09:44,280 [podnet.py] => Learning on 0-5
2024-09-02 15:09:44,316 [podnet.py] => Adaptive factor: 0
2024-09-02 15:09:47,140 [podnet.py] => Task 0, Epoch 1/300 (LR 0.10000) => LSC_loss 1.56, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 41.02, Test_acc 43.47
2024-09-02 15:09:48,931 [podnet.py] => Task 0, Epoch 2/300 (LR 0.09999) => LSC_loss 1.10, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 60.86, Test_acc 32.63
2024-09-02 15:09:50,764 [podnet.py] => Task 0, Epoch 3/300 (LR 0.09998) => LSC_loss 0.73, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 76.47, Test_acc 36.30
2024-09-02 15:09:52,252 [podnet.py] => Task 0, Epoch 4/300 (LR 0.09996) => LSC_loss 0.51, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 84.33, Test_acc 59.63
2024-09-02 15:09:53,898 [podnet.py] => Task 0, Epoch 5/300 (LR 0.09993) => LSC_loss 0.32, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.73, Test_acc 55.37
2024-09-02 15:09:55,847 [podnet.py] => Task 0, Epoch 6/300 (LR 0.09990) => LSC_loss 0.25, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 93.02, Test_acc 72.20
2024-09-02 15:09:57,501 [podnet.py] => Task 0, Epoch 7/300 (LR 0.09987) => LSC_loss 0.27, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.42, Test_acc 67.40
2024-09-02 15:09:59,293 [podnet.py] => Task 0, Epoch 8/300 (LR 0.09982) => LSC_loss 0.19, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.66, Test_acc 74.30
2024-09-02 15:10:01,029 [podnet.py] => Task 0, Epoch 9/300 (LR 0.09978) => LSC_loss 0.14, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.07, Test_acc 74.60
2024-09-02 15:10:02,755 [podnet.py] => Task 0, Epoch 10/300 (LR 0.09973) => LSC_loss 0.13, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.47, Test_acc 78.70
2024-09-02 15:10:04,315 [podnet.py] => Task 0, Epoch 11/300 (LR 0.09967) => LSC_loss 0.13, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.52, Test_acc 70.47
