2024-08-30 17:05:54,614 [trainer.py] => config: ./exps/podnet.json
2024-08-30 17:05:54,615 [trainer.py] => prefix: reproduce
2024-08-30 17:05:54,615 [trainer.py] => dataset: hrrp9
2024-08-30 17:05:54,615 [trainer.py] => memory_size: 500
2024-08-30 17:05:54,615 [trainer.py] => memory_per_class: 20
2024-08-30 17:05:54,615 [trainer.py] => fixed_memory: False
2024-08-30 17:05:54,615 [trainer.py] => shuffle: True
2024-08-30 17:05:54,615 [trainer.py] => init_cls: 5
2024-08-30 17:05:54,615 [trainer.py] => increment: 2
2024-08-30 17:05:54,615 [trainer.py] => model_name: podnet
2024-08-30 17:05:54,615 [trainer.py] => convnet_type: resnet18
2024-08-30 17:05:54,615 [trainer.py] => init_train: True
2024-08-30 17:05:54,615 [trainer.py] => convnet_path: checkpoints/init_train/resnet18_42503.pth
2024-08-30 17:05:54,615 [trainer.py] => fc_path: checkpoints/init_train/fc_42503.pth
2024-08-30 17:05:54,615 [trainer.py] => device: [device(type='cuda', index=1)]
2024-08-30 17:05:54,615 [trainer.py] => seed: 1993
2024-08-30 17:05:55,070 [data_manager.py] => [4, 2, 5, 0, 3, 6, 7, 8, 1]
2024-08-30 17:05:55,166 [trainer.py] => All params: 3843904
2024-08-30 17:05:55,166 [trainer.py] => Trainable params: 3843904
2024-08-30 17:05:55,167 [podnet.py] => Learning on 0-5
2024-08-30 17:05:55,201 [podnet.py] => Adaptive factor: 0
2024-08-30 17:05:58,369 [podnet.py] => Task 0, Epoch 1/200 (LR 0.09999) => LSC_loss 1.56, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 41.02, Test_acc 43.47
2024-08-30 17:06:00,492 [podnet.py] => Task 0, Epoch 2/200 (LR 0.09998) => LSC_loss 1.10, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 60.70, Test_acc 28.10
2024-08-30 17:06:02,218 [podnet.py] => Task 0, Epoch 3/200 (LR 0.09994) => LSC_loss 0.74, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 75.65, Test_acc 46.50
2024-08-30 17:06:03,973 [podnet.py] => Task 0, Epoch 4/200 (LR 0.09990) => LSC_loss 0.48, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 85.48, Test_acc 56.47
2024-08-30 17:06:05,722 [podnet.py] => Task 0, Epoch 5/200 (LR 0.09985) => LSC_loss 0.33, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.35, Test_acc 57.07
2024-08-30 17:06:07,507 [podnet.py] => Task 0, Epoch 6/200 (LR 0.09978) => LSC_loss 0.27, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.01, Test_acc 70.80
2024-08-30 17:06:09,184 [podnet.py] => Task 0, Epoch 7/200 (LR 0.09970) => LSC_loss 0.21, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.09, Test_acc 78.63
2024-08-30 17:06:11,792 [podnet.py] => Task 0, Epoch 8/200 (LR 0.09961) => LSC_loss 0.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.03, Test_acc 73.23
2024-08-30 17:06:13,813 [podnet.py] => Task 0, Epoch 9/200 (LR 0.09950) => LSC_loss 0.17, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.07, Test_acc 72.00
2024-08-30 17:06:16,173 [podnet.py] => Task 0, Epoch 10/200 (LR 0.09938) => LSC_loss 0.17, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.89, Test_acc 78.53
2024-08-30 17:06:18,035 [podnet.py] => Task 0, Epoch 11/200 (LR 0.09926) => LSC_loss 0.08, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 97.73, Test_acc 70.67
